timestamp,open,high,low,close,volume
2024-05-21 00:00:00+07:00,68190.06,70421.24,68030.77,69590.77,23769.05
2024-05-21 07:00:00+07:00,71446.62,71979.0,70706.0,71209.86,16237.55228
2024-05-21 13:00:00+07:00,71209.87,71474.92,70839.63,71130.0,10745.76265
2024-05-21 19:00:00+07:00,71130.0,71455.09,69550.0,69857.05,16269.16164
2024-05-22 01:00:00+07:00,69857.05,70377.77,69162.94,70148.34,6354.95703
2024-05-22 07:00:00+07:00,70148.34,70368.6,69165.0,69898.12,5814.32503
2024-05-22 13:00:00+07:00,69898.12,70275.14,69587.62,69736.13,4798.55912
2024-05-22 19:00:00+07:00,69736.14,70666.0,69435.3,69863.52,8831.24009
2024-05-23 01:00:00+07:00,69863.52,69976.0,68842.19,69166.62,8229.05602
2024-05-23 07:00:00+07:00,69166.62,69626.87,69166.61,69478.89,3723.31972
2024-05-23 13:00:00+07:00,69478.89,70061.0,69382.73,69982.72,5158.13949
2024-05-23 19:00:00+07:00,69982.72,70096.12,67610.95,67639.25,14901.06423
2024-05-24 01:00:00+07:00,67639.25,68365.81,66312.16,67969.65,16730.6503
2024-05-24 07:00:00+07:00,67969.66,68017.56,67080.99,67299.99,5908.63173
2024-05-24 13:00:00+07:00,67299.99,67603.6,66600.12,67349.99,7012.58915
2024-05-24 19:00:00+07:00,67350.0,68931.31,66921.97,68919.02,10731.12077
2024-05-25 01:00:00+07:00,68919.02,69250.0,68524.94,68549.99,4443.49499
2024-05-25 07:00:00+07:00,68549.99,68910.0,68500.0,68718.21,2361.0263
2024-05-25 13:00:00+07:00,68718.21,69610.0,68615.56,69104.67,3773.51449
2024-05-25 19:00:00+07:00,69104.68,69299.99,68847.65,69065.14,4187.93965
2024-05-26 01:00:00+07:00,69065.15,69356.6,69050.01,69290.57,1807.91374
2024-05-26 07:00:00+07:00,69290.56,69319.31,68808.37,69139.6,2094.19284
2024-05-26 13:00:00+07:00,69139.59,69562.23,68974.55,69134.91,3326.26939
2024-05-26 19:00:00+07:00,69134.91,69399.0,68668.6,68778.14,3943.18364
2024-05-27 01:00:00+07:00,68778.14,68916.22,68128.01,68507.67,2508.4721
2024-05-27 07:00:00+07:00,68507.67,69298.0,68321.95,68524.61,4390.98934
2024-05-27 13:00:00+07:00,68524.6,68944.2,68250.0,68434.26,4214.04966
2024-05-27 19:00:00+07:00,68434.26,70687.56,68384.0,70184.01,9880.32221
2024-05-28 01:00:00+07:00,70184.0,70250.0,69069.0,69436.43,4651.56616
2024-05-28 07:00:00+07:00,69436.43,69591.81,67486.65,68049.67,9515.63336
2024-05-28 13:00:00+07:00,68049.67,68902.71,67582.13,68389.87,7997.03508
2024-05-28 19:00:00+07:00,68389.87,68559.99,67529.62,67782.67,9825.92379
2024-05-29 01:00:00+07:00,67782.68,68661.28,67277.91,68398.39,5284.37819
2024-05-29 07:00:00+07:00,68398.4,68935.68,68266.04,68584.73,4270.97456
2024-05-29 13:00:00+07:00,68584.72,68667.72,67602.34,67763.59,6041.92288
2024-05-29 19:00:00+07:00,67763.59,68280.0,67124.65,67611.12,9492.78911
2024-05-30 01:00:00+07:00,67611.12,67826.09,67151.35,67652.42,3354.14494
2024-05-30 07:00:00+07:00,67652.41,68422.89,67471.67,68134.14,4012.59611
2024-05-30 13:00:00+07:00,68134.13,68180.46,67128.0,67817.01,7690.89214
2024-05-30 19:00:00+07:00,67817.01,69500.0,67755.0,69315.1,11090.50542
2024-05-31 01:00:00+07:00,69315.1,69420.0,68050.01,68352.17,5684.22473
2024-05-31 07:00:00+07:00,68352.17,68729.73,68274.0,68442.72,3383.91518
2024-05-31 13:00:00+07:00,68442.72,68461.0,67876.0,68349.73,4799.00164
2024-05-31 19:00:00+07:00,68349.73,69044.1,66670.0,67342.77,13607.11645
2024-06-01 01:00:00+07:00,67342.77,67999.0,67170.0,67540.01,4900.28857
2024-06-01 07:00:00+07:00,67540.01,67740.0,67428.44,67704.54,1652.33651
2024-06-01 13:00:00+07:00,67686.35,67760.0,67575.23,67660.57,1911.19929
2024-06-01 19:00:00+07:00,67660.57,67900.0,67556.72,67791.02,3010.02985
2024-06-02 01:00:00+07:00,67791.02,67885.0,67685.72,67766.85,1506.39287
2024-06-02 07:00:00+07:00,67766.84,67910.55,67643.33,67728.4,1674.70691
2024-06-02 13:00:00+07:00,67728.41,68320.08,67367.2,68251.52,3628.07923
2024-06-02 19:00:00+07:00,68251.53,68460.0,67800.0,67879.28,5837.39964
2024-06-03 01:00:00+07:00,67879.27,67984.01,67257.47,67765.63,4286.13951
2024-06-03 07:00:00+07:00,67765.62,68793.97,67612.48,68700.0,5421.5991
2024-06-03 13:00:00+07:00,68699.99,69333.0,68632.01,69080.0,7739.57468
2024-06-03 19:00:00+07:00,69080.0,70288.0,68500.0,69268.97,12625.6716
2024-06-04 01:00:00+07:00,69268.98,69509.38,68730.51,68809.9,3846.52862
