timestamp,open,high,low,close,volume,MA_7,MA_25,MA_99,EMA_7,EMA_30,MACD,Signal_Line,RSI_6,RSI_14,trend
12/24/2017,13300,13819.99,11640,13500,28557.53499,15465.66857,14824.3952,8214.790505,14861.5858,13918.43772,960.7327321,1707.446293,3.474484256,43.81344622,0
12/25/2017,13500,14300,12708,13699.34,15748.20761,14728.96714,14978.8104,8315.79404,14571.02435,13904.30238,764.7770379,1518.912442,9.087185462,35.30116374,0
12/26/2017,13699.34,16050,13533,15689.01,15034.6681,14499.51143,15175.0512,8433.511212,14850.52076,14019.44481,761.255203,1367.380994,42.82922702,47.14547053,0
12/27/2017,15709.98,16498.05,14200.15,15459.99,14959.86472,14352.51286,15357.8504,8550.177374,15002.88807,14112.38321,731.5512559,1240.215047,49.66065018,47.50523496,0
12/28/2017,15459.97,15539.99,13150,14182.11,21717.85801,14165.29429,15478.5184,8654.037071,14797.69355,14116.88171,598.003021,1111.772642,60.90497945,41.36520606,0
12/29/2017,14199.14,14981,13850,14378.9,18072.00812,14315.62143,15590.5144,8762.813939,14692.99516,14133.78612,502.2547113,989.8690555,63.1807853,36.20667837,0
12/30/2017,14378.99,14398.85,11750,12440.01,19221.15804,14192.76571,15620.1152,8852.148687,14129.74887,14024.51024,266.8452412,845.2642927,40.91165531,21.85013837,0
12/31/2017,12345.1,14050.11,12149.98,13716.36,11768.98972,14223.67429,15626.7676,8952.51596,14026.40165,14004.62958,181.1837448,712.4481831,50.1231798,30.01369292,0
1/1/2018,13715.65,13818.55,12750,13380,8609.915844,14178.05429,15498.0076,9050.697576,13864.80124,13964.3309,85.17312801,586.9931721,28.03156439,29.25749306,0
1/2/2018,13382.16,15473.49,12890.02,14675.11,20078.09211,14033.21143,15449.812,9159.327475,14067.37843,14010.18761,112.2941191,492.0533615,43.7918619,39.87178585,0
1/3/2018,14690,15307.56,14150,14919.51,15905.66764,13956,15460.3496,9270.813939,14280.41132,14068.85357,151.7593501,423.9945592,56.97252217,43.6575744,0
1/4/2018,14919.51,15280,13918.04,15059.54,21329.64957,14081.34714,15466.732,9380.57697,14475.19349,14132.76883,192.1204359,377.6197345,56.50565651,48.11965114,0
1/5/2018,15059.56,17176.24,14600,16960.39,23251.49113,14450.13143,15481.6288,9509.727374,15096.49262,14315.196,373.1877204,376.7333317,93.52294391,66.14826731,0
1/6/2018,16960.39,17143.13,16011.21,17069.79,18571.45751,15111.52857,15510.4208,9639.980909,15589.81696,14492.91174,519.5237669,405.2914188,91.64561678,66.63031615,0
1/7/2018,17069.79,17099.96,15610,16150.03,12493.12556,15459.19571,15515.0904,9758.885152,15729.87022,14599.8226,554.8828488,435.2097048,80.0466423,60.99246299,0
1/8/2018,16218.85,16322.3,12812,14902.54,26600.60991,15676.70143,15457.7928,9865.188788,15523.03767,14619.35275,476.7475102,443.5172658,52.49269498,54.59166539,0
1/9/2018,14902.54,15500,14011.05,14400,14315.00425,15637.4,15332.1996,9966.400909,15242.27825,14605.20096,370.0086834,428.8155494,44.61097038,44.45103561,0
1/10/2018,14401,14955.66,13131.31,14907.09,17411.00166,15635.62571,15164.3768,10073.44222,15158.48119,14624.67767,322.6163983,407.5757192,48.5304976,47.67551169,0
1/11/2018,14940,14968.68,11400,13238.78,33554.72375,15375.51714,14939.5272,10164.65626,14678.55589,14535.26492,148.724592,355.8054937,12.44280556,46.16013358,0
1/12/2018,13238.76,14109.78,12500,13740.01,16417.16214,14915.46286,14734.8776,10260.08636,14443.91942,14483.95815,50.77386526,294.799168,18.85972295,47.46226707,0
1/13/2018,13749.95,14580,13706.15,14210,12221.50853,14506.92143,14611.4696,10359.4904,14385.43956,14466.28343,10.94530309,238.028395,30.1902321,57.95936832,0
1/14/2018,14210,14339.5,12569.2,13474.99,17017.89433,14124.77286,14490.91,10450.92465,14157.82717,14402.32902,-79.01742001,174.619232,33.71926727,48.85904797,0
1/15/2018,13477.98,14249.99,13147.79,13539.93,14652.09471,13930.11429,14412.8016,10540.82293,14003.35288,14346.69037,-143.4201527,111.0113551,39.10357602,50.77589595,0
1/16/2018,13500,13542.93,9035,10900,63401.16918,13430.11429,14315.7372,10602.57091,13227.51466,14124.32325,-402.836423,8.24179947,17.04375918,33.79916007,0
1/17/2018,10899.99,11680.99,9037.94,10988.79,72331.79665,12870.35714,14223.2888,10665.25505,12667.83349,13922.03078,-594.4090972,-112.2883799,24.99949999,32.90301478,0
1/18/2018,10972.59,11878.82,10435.33,10961.97,48464.43494,12545.09857,14121.7676,10727.28071,12241.36762,13731.05912,-739.8672425,-237.8041524,15.4943013,32.00001757,0
1/19/2018,10960,11795,10360,11474.98,34129.37542,12221.52286,14032.7932,10788.34111,12049.77072,13585.50563,-804.4747668,-351.1382753,16.38785793,22.55733512,0
1/20/2018,11474.98,13099,11412.45,12799.94,28768.85783,12020.08571,13917.2304,10860.56293,12237.31304,13534.82397,-740.230579,-428.956736,42.75456429,30.95495309,0
1/21/2018,12799.8,12799.8,10965,11530,41379.77343,11742.23,13760.0308,10917.73475,12060.48478,13405.48049,-782.7668925,-499.7187673,32.86051727,30.01725771,0
1/22/2018,11530,11926.35,9900.24,10760.05,43752.60679,11345.10429,13623.1484,10968.74545,11735.37608,13234.80756,-868.5931565,-573.4936451,48.24776448,31.31068684,0
1/23/2018,10760.05,11399,9905,10799.18,37473.92255,11330.70143,13479.9596,11019.64606,11501.32706,13077.6703,-922.8159769,-643.3581115,47.5961063,33.04555,0
1/24/2018,10799.14,11570.48,10500,11349.99,27158.58776,11382.30143,13436.3588,11077.77727,11463.4928,12966.20705,-910.8425629,-696.8550018,54.34240566,33.32007855,0
1/25/2018,11349.96,11794.05,10950.21,11175.27,20839.95418,11412.77286,13334.7152,11134.98141,11391.4371,12850.66272,-905.0194886,-738.4878991,46.37111909,38.74763748,0
1/26/2018,11184.7,11643,10311.15,11089,33056.87196,11357.63286,13243.0752,11189.57838,11315.82782,12737.00706,-897.0255758,-770.1954345,20.40735847,34.85876035,0
1/27/2018,11089,11650,10842.69,11491,18860.76835,11170.64143,13115.7108,11244.94192,11359.62087,12656.61951,-848.4716489,-785.8506774,49.03602784,34.34888122,0
1/28/2018,11499.98,12244,11408,11879.95,16887.33952,11220.63429,12994.1284,11304.08313,11489.70315,12606.5118,-769.7342801,-782.6273979,84.10419763,40.43766232,0
1/29/2018,11879.95,11975.02,11139.55,11251,14170.37754,11290.77,12841.7868,11357.62838,11430.02736,12519.05943,-749.4462072,-775.9911598,60.12277636,37.14695151,0
1/30/2018,11250.11,11308.42,9900,10237.51,25554.37295,11210.53143,12572.8716,11401.28071,11131.89802,12371.86269,-805.8585011,-781.964628,29.35554747,45.44854963,0
1/31/2018,10230,10425.85,9700,10285.1,18015.95681,11058.40429,12301.484,11449.84707,10920.19852,12237.23284,-837.0762413,-792.9869507,32.66296621,45.13797244,0
2/1/2018,10285.1,10335,8750.99,9224.52,33564.76431,10779.72571,12024.4636,11485.54939,10496.27889,12042.86427,-936.5999267,-821.7095459,23.67713663,39.49591009,0
2/2/2018,9224.52,9250,8010.02,8873.03,49971.62698,10463.15857,11783.2832,11515.96616,10090.46667,11838.35883,-1031.939909,-863.7556185,12.50454734,33.95607011,0
2/3/2018,8873.03,9473.01,8229,9199.96,28725.00074,10135.86714,11575.2816,11550.62404,9867.839999,11668.13955,-1068.796591,-904.7638131,10.92203918,24.68653316,0
